,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
176,-0.20564977193992434,-0.7897694192656988,-0.81948480332533,-0.9809174987241158,-0.031846882080182846,0.5255899510618798,-1.7431490970491994,2
177,-0.1569869405688523,-0.7894565624695806,-0.8143071998001361,-0.9593083875424755,-0.0855272880078698,0.5345285508171657,-1.7187922011762644,2
178,-0.11032717973847768,-0.7853818749654204,-0.8075826205236886,-0.9376992763608353,-0.1385422721501402,0.5432479744815176,-1.706613753239797,2
179,-0.06614180016425938,-0.7807144064285142,-0.7982197494381884,-0.9088871281186481,-0.1908672509163339,0.5517397355352383,-1.682256857366862,2
180,-0.024902112561656305,-0.7766713611415683,-0.7818772517584142,-0.8908795354672813,-0.24247214355833305,0.5599938325566205,-1.657899961493927,2
181,0.01327405539046975,-0.772749691365873,-0.7712525673770351,-0.8321747834238252,-0.29333916884747663,0.5680039417105324,-1.6457215135574594,2
182,0.04874018672870752,-0.7686792844029756,-0.7596728039213878,-0.6423747568784182,-0.34347333766707544,0.5757715676708375,-1.6213646176845244,2
183,0.08208541984738442,-0.7646659141723328,-0.750002871191716,-0.6063595715756843,-0.3928621855241529,0.5832920384479165,-1.5970077218115895,2
189,-0.22447921002155694,-0.173922678033571,-0.6341254697518508,-1.0039528787362015,-0.5482577306579234,0.7066368755381907,0.4489715315149487,2
190,-0.2721850508762761,-0.17591476137644554,-0.6112729734809528,-0.9160679790327144,-0.5482577306579234,0.7068394422571292,0.4855068753243512,2
191,-0.3253511983979903,-0.1730342545732073,-0.587550982740826,-0.7485845714317705,-0.5482577306579234,0.707040336674262,0.5342206670702214,2
192,-0.26672474303100324,-0.1749387930404334,-0.5532325573200918,-0.6601302432326659,-0.5482577306579234,0.7072391451179216,0.5707560108796236,2
193,-0.21930628741986574,-0.1612300885468275,-0.495349441674072,-0.5745221477680675,-0.5482577306579234,0.6949177839492312,0.6194698026254938,2
194,-0.2316638246152089,-0.13681055116708185,-0.43575480370001296,-0.5554340995576187,-0.5482577306579234,0.6808397387735579,0.6681835943713635,2
195,-0.16642752396345709,-0.12112012549342874,-0.3656308304879126,-0.4875094600766628,-0.5482577306579234,0.666610573883089,0.7168973861172337,2
196,-0.0718779968064861,-0.09458555759886136,-0.2972240701635939,-0.36145631151709445,-0.5482577306579234,0.6522328889314981,0.7534327299266359,2
197,-0.04256476912299255,-0.08844159343483894,-0.21641323344209498,-0.24260620001807293,-0.5482577306579234,0.6377082920105666,0.8021465216725061,2
198,-0.04831246103356934,-0.06911759396452624,-0.2085940979296471,-0.0830589291269622,-0.5482577306579234,0.6230412033838852,0.8630387613548436,2
199,-0.048599845098874966,-0.1092203994254532,-0.14095014705351622,0.07432743064598454,-0.5482577306579234,0.6081895904871054,0.9117525531007133,2
200,-0.03106938530183895,-0.0505428129671606,-0.07897511260221213,0.35700686226270767,-0.5482577306579234,0.5931623228271544,0.9604663448465836,2
201,0.1353262877916502,-0.035867362022451915,0.0005764111411449377,0.6185168805702921,-0.5482577306579234,0.5779756182653445,1.021358584528921,2
202,0.1948148965328269,-0.020152409263389112,0.04643225649593769,0.8799871258681397,-0.5482577306579234,0.562632720828521,1.0822508242112585,2
203,0.25372873596511797,-0.03053313202229814,0.04714781072301547,1.0546607745863987,-0.5482577306579234,0.5471382269316707,1.143143063893596,2
204,0.33074780332505294,-0.02327763713208536,8.006495147942046e-05,1.1702825176487017,-0.5482577306579234,0.5478040451164821,1.2040353035759335,2
210,0.8135539026045351,0.9126228165478942,0.4999014796063165,-0.010967631992669773,-0.5482577306579234,0.7479879760475807,0.2906517083408716,0
211,0.8431545143533342,0.9794042732474619,0.5516685670966079,0.05590190013692392,-0.5482577306579234,0.7479875362373198,0.33936550008674143,0
212,0.8552246674833734,0.9836965633549507,0.6287511637800249,0.5976280730947066,-0.5482577306579234,0.7479877550059896,0.3880792918326112,0
213,0.8615471275245582,0.9935319197641709,0.6623117884872016,0.7287233475966576,-0.5482577306579234,0.7479878396723061,0.42461463564201374,0
214,0.9497741946403427,1.015534020657197,0.7206168276958416,0.8688224184242921,-0.5482577306579234,0.747987953318368,0.473328427387884,0
215,0.9618443465921059,1.051685613530204,0.7781265411511833,0.9394121816176504,-0.5482577306579234,0.7479878055784878,0.5220422191337538,0
216,1.0089754181379378,1.0371155713018494,0.8854943034889159,1.0798714042983122,-0.5482577306579234,0.7479878055784878,0.5585775629431563,0
217,1.0563938749273514,1.0753244983430583,0.9645262643223463,1.2498630789272156,-0.5482577306579234,0.7479875282820956,0.5951129067525589,0
218,1.044323721797312,1.0601460677947105,1.0208660304722705,1.3060467679994805,-0.5482577306579234,0.7479876589750675,0.6438266984984287,0
219,1.0859944866761504,1.0396455377968246,1.0139625370261183,1.4501075092104156,-0.5482577306579234,0.7479878680838216,0.6803620423078313,0
220,1.1035249464731849,0.9037843255030547,1.1218091761386753,1.6301834357240845,-0.5482577306579234,0.7479876925006558,0.729075834053701,0
221,1.1509434020843223,1.011584731119495,1.1786727048945522,1.8682436665144135,-0.5482577306579234,0.7479879362714589,0.7656111778631035,0
222,1.1273778663114056,0.9312502725329754,1.2482320385453598,1.836189955312221,-0.5482577306579234,0.7479876072661086,0.8143249696089734,0
223,1.1512307873279024,0.9223898341632634,1.3194405150839454,1.8884195173817462,-0.5482577306579234,0.7479876237447877,0.8630387613548436,0
